,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
31648,0,0,1,0.0,0.0,A2QRXQPHDMFCQV
133,1,1,1,1.0,1.0,A1BT745N4PMLMH
31646,0,0,1,0.0,0.0,A2KUMYWXAQNARZ
31645,1,1,1,1.0,1.0,A23PK0T3WEK4DN
31644,1,1,1,1.0,1.0,AO69E0WJOXAP3
31643,1,1,1,1.0,1.0,A1D55CUSW389PO
31642,0,0,1,0.0,0.0,AMOB99NTJ6MKD
31733,1,1,1,1.0,1.0,A3UW5WN3N3BSPG
31641,1,1,1,1.0,1.0,A1CN7UQLU7PIN9
31640,0,1,1,0.0,1.0,A3GYQD36P4ZY2N
31639,0,0,1,0.0,0.0,A7WFH14YBP7EE
31638,1,1,1,1.0,1.0,A2EK1FGVCOG0DC
31637,1,1,1,1.0,1.0,A1R56WGS6ZU0V1
31636,0,0,1,0.0,0.0,A3LBAY6DVQRSDK
31619,0,1,1,0.0,1.0,A8HML7FC3Y2ID
31618,0,0,1,0.0,0.0,AKXXSYTAFB39C
31617,1,1,1,1.0,1.0,A28B3GTMKSO6BZ
138,0,0,1,0.0,0.0,A2PWH9PTF4NCTU
31742,1,1,1,1.0,1.0,A25OT2WVEKP6HR
31598,1,1,1,1.0,1.0,AW5NMNDSD6FYG
31597,0,0,1,0.0,0.0,A22A47UGFF8TLZ
31596,1,1,1,1.0,1.0,A1DP6OQ7UR2N22
31594,1,1,1,1.0,1.0,A10M1W7KBNSV2I
31743,0,0,1,0.0,0.0,A1R42PA99LN102
31593,1,1,1,1.0,1.0,A2NH4D9NIP0Q94
31592,1,1,1,1.0,1.0,A2J37PAA8NYDJH
31744,1,1,1,1.0,1.0,AAVWL0KYFFTTK
31591,0,0,1,0.0,0.0,A2BKYAH60VOGS0
31590,0,0,1,0.0,0.0,A3VW69B9W6Q5UB
31745,0,1,1,0.0,1.0,AQJUBIWM5GPEZ
31589,0,0,1,0.0,0.0,A13L4UJCWSS3K3
31588,1,1,1,1.0,1.0,A26LAF0F6JKDF1
31587,1,1,1,1.0,1.0,A1DCK1NKLUG1B1
31599,1,1,1,1.0,1.0,A2FS8R90CQY7FH
31601,1,1,1,1.0,1.0,A23EESGR3Y3630
31616,1,1,1,1.0,1.0,A2LVX8X51KZJT
31602,1,1,1,1.0,1.0,A37RAAB00KHIN7
31615,1,1,1,1.0,1.0,A2TCL3XLU57QC
31613,0,0,1,0.0,0.0,A21OTG8G9ZEKPG
31612,0,0,1,0.0,0.0,A3DIHODRPJB965
31611,1,1,1,1.0,1.0,A1KKTLPJG5J1ZZ
31739,1,1,1,1.0,1.0,A2MCKLKBTBJPVU
31610,1,1,1,1.0,1.0,A2TSZ9A2T1ETUJ
31740,1,1,1,1.0,1.0,A3DVTU6BUBAC6
31741,0,0,1,0.0,0.0,AHQKBF1ZVX6YW
31609,1,1,1,1.0,1.0,AK1CI8XMC6Q5M
136,1,1,1,1.0,1.0,A1HNFI34RIL4RS
31607,1,1,1,1.0,1.0,A1AJ9T7CB9T41R
31606,1,1,1,1.0,1.0,AZ7ODC8EG1A2O
31605,1,1,1,1.0,1.0,AFY0CK9PYH0L3
31604,0,1,1,0.0,1.0,A2DPYMNI2HCIOI
31603,1,1,1,1.0,1.0,A2O08Y6WZPL93X
31650,1,1,1,1.0,1.0,A3AEDP3GALTJZZ
31652,0,1,1,0.0,1.0,AYQQOW0VR0YF5
31585,0,0,1,0.0,0.0,A1QF8GOLBBCBUV
31695,1,1,1,1.0,1.0,A91L7VG9XYEAV
31700,1,1,1,1.0,1.0,A192KEPM0HW6AC
31724,0,1,1,0.0,1.0,A5P64TIIMW7X0
31699,1,1,1,1.0,1.0,A176F8LV9THRVJ
119,1,1,1,1.0,1.0,ACCEC9E3BDSPR
31725,1,1,1,1.0,1.0,A3F2F4EJ9HRH9A
31697,1,1,1,1.0,1.0,A3CM5ARGTEZ6O5
31696,0,0,1,0.0,0.0,AB60BDQFLHRDG
31726,0,0,1,0.0,0.0,A1A2YV40FZVOEZ
31653,0,0,1,0.0,0.0,A3LABDSWG5NI10
31693,0,0,1,0.0,0.0,A2SSTQO13GHMN5
31727,1,1,1,1.0,1.0,A1PUK2K5SL7BMT
31728,1,1,1,1.0,1.0,A1V5EF8WL9SBDH
31691,1,1,1,1.0,1.0,AP9RPQLXN21SD
31690,0,0,1,0.0,0.0,A2O4UC0SXV8OYH
31689,1,1,1,1.0,1.0,A1VX0D1W8ZXHSR
31688,1,1,1,1.0,1.0,A2OYVSDH2PGLLU
